AoA,Velocity,Cl,Cd
-3.5,36,-0.16302,0.00914
-3.5,37,-0.163,0.0091
-3.5,38,-0.16298,0.00907
-3.5,39,-0.16296,0.00903
-3.5,40,-0.16294,0.009
-3.5,41,-0.16293,0.00896
-3.5,42,-0.16291,0.00893
-3.5,43,-0.16289,0.0089
-3.5,44,-0.16288,0.00887
-3.5,45,-0.16286,0.00884
-4,31,-0.2174,0.00947
-4,32,-0.21741,0.00946
-4,33,-0.21742,0.0094
-4,34,-0.21743,0.00937
-4,35,-0.21744,0.00934
-4,36,-0.21745,0.0093
-4,37,-0.21746,0.00926
-4,38,-0.21747,0.00923
-4,39,-0.21748,0.00919
-4,40,-0.21749,0.00915
-4,41,-0.2175,0.00913
-4,42,-0.21751,0.00912
-4,43,-0.21752,0.00909
-4,44,-0.21753,0.00906
-4,45,-0.21754,0.00903
-4.5,31,-0.27212,0.0098
-4.5,32,-0.27216,0.00977
-4.5,33,-0.2722,0.00971
-4.5,34,-0.27223,0.00966
-4.5,35,-0.27225,0.00963
-4.5,36,-0.27228,0.00958
-4.5,37,-0.2723,0.00954
-4.5,38,-0.27231,0.00951
-4.5,39,-0.27234,0.00946
-4.5,40,-0.27236,0.00943
-4.5,41,-0.27238,0.00939
-4.5,42,-0.2724,0.00936
-4.5,43,-0.27241,0.00933
-4.5,44,-0.27243,0.00929
-4.5,45,-0.27245,0.00926
-5,31,-0.32624,0.01013
-5,32,-0.32629,0.01007
-5,33,-0.32634,0.01003
-5,34,-0.32639,0.00998
-5,35,-0.32644,0.00993
-5,36,-0.32648,0.00989
-5,37,-0.32653,0.00985
-5,38,-0.32657,0.00981
-5,39,-0.32661,0.00977
-5,40,-0.32665,0.00974
-5,41,-0.32669,0.0097
-5,42,-0.32672,0.00967
-5,43,-0.32676,0.00964
-5,44,-0.32679,0.0096
-5,45,-0.32682,0.00957
1.5,31,0.38243,0.00957
1.5,32,0.38262,0.00952
1.5,33,0.3828,0.00948
1.5,34,0.38297,0.00944
1.5,35,0.38314,0.0094
1.5,36,0.3833,0.00936
1.5,37,0.38345,0.00933
1.5,38,0.3836,0.00929
1.5,39,0.38374,0.00926
1.5,40,0.38389,0.00922
1.5,41,0.38402,0.00919
1.5,42,0.38415,0.00916
1.5,43,0.38428,0.00913
1.5,44,0.3844,0.0091
1.5,45,0.38452,0.00907
2,31,0.43624,0.00988
2,32,0.43645,0.00983
2,33,0.43665,0.00978
2,34,0.43684,0.00974
2,35,0.43702,0.0097
2,36,0.4372,0.00966
2,37,0.43737,0.00962
2,38,0.43754,0.00958
2,39,0.4377,0.00955
2,40,0.43785,0.00951
2,41,0.438,0.00948
2,42,0.43814,0.00944
2,43,0.43828,0.00941
2,44,0.43842,0.00938
2,45,0.43856,0.00935
2.5,31,0.49003,0.01014
2.5,32,0.49025,0.0101
2.5,33,0.49046,0.01005
2.5,34,0.49067,0.01001
2.5,35,0.49087,0.00997
2.5,36,0.49106,0.00993
2.5,37,0.49125,0.00989
2.5,38,0.49143,0.00985
2.5,39,0.4916,0.00981
2.5,40,0.49177,0.00978
2.5,41,0.49193,0.00974
2.5,42,0.49209,0.00971
2.5,43,0.49224,0.00968
2.5,44,0.49239,0.00964
2.5,45,0.49254,0.00961
3,31,0.54381,0.01045
3,32,0.54405,0.0104
3,33,0.54428,0.01035
3,34,0.54451,0.01031
3,35,0.54472,0.01027
3,36,0.54493,0.01022
3,37,0.54513,0.01018
3,38,0.54527,0.01014
3,39,0.54551,0.01011
3,40,0.5457,0.01007
3,41,0.54588,0.01004
3,42,0.60202,0.01103
3,43,0.54621,0.00997
3,44,0.54638,0.00994
3,45,0.54653,0.00991
3.5,31,0.59729,0.01079
3.5,32,0.59755,0.01074
3.5,33,0.5978,0.0107
3.5,34,0.59804,0.01065
3.5,35,0.59827,0.01061
3.5,36,0.5985,0.01057
3.5,37,0.59872,0.01053
3.5,38,0.59893,0.01049
3.5,39,0.59913,0.01045
3.5,40,0.59933,0.01041
3.5,41,0.59952,0.01037
3.5,42,0.59971,0.01034
3.5,43,0.59989,0.01031
3.5,44,0.60006,0.01027
3.5,45,0.60024,0.01024
4,31,0.65041,0.01119
4,32,0.65069,0.01114
4,33,0.65096,0.01109
4,34,0.65122,0.01105
4,35,0.65148,0.011
4,36,0.65172,0.01096
4,37,0.65196,0.01092
4,38,0.65219,0.01088
4,39,0.65241,0.01084
4,40,0.65262,0.0108
4,41,0.65283,0.01076
4,42,0.65303,0.01073
4,43,0.65322,0.01069
4,44,0.65341,0.01066
4,45,0.6536,0.01063
4.5,31,0.70248,0.0118
4.5,32,0.70284,0.01174
4.5,33,0.70318,0.01169
4.5,34,0.7035,0.01163
4.5,35,0.7038,0.01159
4.5,36,0.70408,0.01154
4.5,37,0.70435,0.01149
4.5,38,0.70462,0.01145
4.5,39,0.70487,0.01141
4.5,40,0.70512,0.01137
4.5,41,0.70536,0.01133
4.5,42,0.70559,0.0113
4.5,43,0.70581,0.01126
4.5,44,0.70602,0.01123
4.5,45,0.70623,0.0112
5,31,0.75603,0.01209
5,32,0.75636,0.01204
5,33,0.75668,0.01199
5,34,0.75698,0.01194
5,35,0.75728,0.01189
5,36,0.75756,0.01185
5,37,0.75755,0.01179
5,38,0.75742,0.01173
5,39,0.75768,0.01169
5,40,0.75794,0.01165
5,41,0.75886,0.01164
5,42,0.75909,0.0116
5,43,0.75932,0.01157
5,44,0.75954,0.01153
5,45,0.75976,0.0115
